Nutrient,Nutrient Type,Unit,Constraint Type,Child_1_3,Female_4_8,Male_4_8,Female_9_13,Male_9_13,Female_14_18,Male_14_18,Female_19_30,Male_19_30,Female_31_50,Male_31_50,Female_51U,Male_51U
Energy,Macro,kcal,RDA,1000,1200,1400,1600,1800,1800,2200,2000,2400,1800,2200,1600,2000
Protein,Macro,g,RDA,13,19,19,34,34,46,52,46,56,46,56,46,56
Carbohydrate,Macro,g,RDA,130,130,130,130,130,130,130,130,130,130,130,130,130
Dietary Fiber,Macro,g,RDA,14,16.8,19.6,22.4,25.2,25.2,30.8,28,33.6,25.2,30.8,22.4,28
Linoleic Acid,Macro,g,AI,7,10,10,10,12,11,16,12,17,12,17,11,14
Linolenic Acid,Macro,g,AI,0.7,0.9,0.9,1,1.2,1.1,1.6,1.1,1.6,1.1,1.6,1.1,1.6
Calcium,Mineral,mg,RDA,700,1000,1000,1300,1300,1300,1300,1000,1000,1000,1000,1200,1200
Iron,Mineral,mg,RDA,7,10,10,8,8,15,11,18,8,18,8,8,8
Magnesium,Mineral,mg,RDA,80,130,130,240,240,360,410,310,400,320,420,320,420
Phosphorus,Mineral,mg,RDA,460,500,500,1250,1250,1250,1250,700,700,700,700,700,700
Potassium,Mineral,mg,AI,3000,3800,3800,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700
Sodium,Mineral,mg,UL,1500,1900,1900,2200,2200,2300,2300,2300,2300,2300,2300,2300,2300
Zinc,Mineral,mg,RDA,3,5,5,8,8,9,11,8,11,8,11,8,11
Copper,Mineral,mg,RDA,0.34,0.44,0.44,0.7,0.7,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9
Selenium,Mineral,mcg,RDA,20,30,30,40,40,55,55,55,55,55,55,55,55
Vitamin A,Vitamin,mcg,RDA,300,400,400,600,600,700,900,700,900,700,900,700,900
Vitamin E,Vitamin,mg,RDA,6,7,7,11,11,15,15,15,15,15,15,15,15
Vitamin D,Vitamin,mcg,RDA,15,15,15,15,15,15,15,15,15,15,15,15,15
Vitamin C,Vitamin,mg,RDA,15,25,25,45,45,65,75,75,90,75,90,75,90
Thiamin,Vitamin,mg,RDA,0.5,0.6,0.6,0.9,0.9,1,1.2,1.1,1.2,1.1,1.2,1.1,1.2
Riboflavin,Vitamin,mg,RDA,0.5,0.6,0.6,0.9,0.9,1,1.3,1.1,1.3,1.1,1.3,1.1,1.3
Niacin,Vitamin,mg,RDA,6,8,8,12,12,14,16,14,16,14,16,14,16
Vitamin B6,Vitamin,mg,RDA,0.5,0.6,0.6,1,1,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.7
Vitamin B12,Vitamin,mcg,RDA,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Choline,Vitamin,mg,AI,200,250,250,375,375,400,550,425,550,425,550,425,550
Vitamin K,Vitamin,mcg,AI,30,55,55,60,60,75,75,90,120,90,120,90,120
Folate,Vitamin,mcg,RDA,150,200,200,300,300,400,400,400,400,400,400,400,400
Energy,Macro,kcal,UL,2500,2500,2500,2800,3000,3100,3100,3100,3100,3100,3100,3100,3100